05.10.2018                                                                                                       Saída dinâmica de lista                                                                                                               1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Itm|Medi|Nota    |Ordem     |P|Texto das medidas                       |Texto do item                           |CenTrabRes|StatUsuár.|StatSist |Local de instalação           |Exec.por|Fim plan. |Problema|GrCoMed |Data      |Concluído |ÁrO|CóMd|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|     |   8|10474038|2018223491|6|                                        |                                        |          |INIT      |MEDA     |301032.FSGV.513102.000014     |060COM02|          |        |CAMPSPAR|12.04.2018|          |P32|C   |
|     |   7|10474038|2018223491|6|                                        |                                        |          |INIT      |MEDA     |301032.FSGV.513102.000014     |060COM02|          |        |CAMPSPAR|12.04.2018|          |P32|C   |
|     |   5|10474038|2018223491|6|                                        |                                        |          |INIT      |MEDA     |301032.FSGV.513102.000014     |020COM02|          |        |CAMPPAR |12.04.2018|          |P32|C   |
|     |   4|10474038|2018223491|6|                                        |                                        |          |INIT      |MEDA     |301032.FSGV.513102.000014     |020COM02|          |        |CAMPSPAR|12.04.2018|          |P32|C   |
|     |   3|10474038|2018223491|6|                                        |                                        |          |INIT      |MEDA     |301032.FSGV.513102.000014     |060COM02|          |        |CAMPSPAR|12.04.2018|          |P32|C   |
|     |   2|10474038|2018223491|6|                                        |                                        |          |INIT      |MEDA     |301032.FSGV.513102.000014     |060COM02|          |        |CAMPSPAR|12.04.2018|          |P32|C   |
|    2|   5|10911594|          |5|CVI-A12: CALD                           |Tubulação com corrosão                  |          |CTEC      |MEDA     |352503.PSFL.541299.000001     |CTMIINTG|          |PMGERAL |CAMPSPAR|03.10.2018|          |VM3|D   |
|    2|   6|10911594|          |5|CVI-A12: PINT                           |Tubulação com corrosão                  |          |CTEC      |MEDA     |352503.PSFL.541299.000001     |CTMIINTG|          |PMGERAL |CAMPSPAR|03.10.2018|          |VM3|D   |
|    1|   1|10911594|          |5|CVI-A12: CALD                           |Tubulação com corrosão                  |          |CTEC      |MEDA     |352503.PSFL.541299.000001     |CTMIINTG|          |PMGERAL |CAMPSPAR|03.10.2018|          |VM3|C   |
|    1|   4|10911594|          |5|CVI-A12: PINT                           |Tubulação com corrosão                  |          |CTEC      |MEDA     |352503.PSFL.541299.000001     |CTMIINTG|          |PMGERAL |CAMPSPAR|03.10.2018|          |VM3|D   |
|    1|   3|10911594|          |5|CVI-A12: CALD                           |Tubulação com corrosão                  |          |CTEC      |MEDA     |352503.PSFL.541299.000001     |CTMIINTG|          |PMGERAL |CAMPSPAR|03.10.2018|          |VM3|D   |
|    1|   2|10911594|          |5|CVI-A12: CALD                           |Tubulação com corrosão                  |          |CTEC      |MEDA     |352503.PSFL.541299.000001     |CTMIINTG|          |PMGERAL |CAMPSPAR|03.10.2018|          |VM3|C   |
|    1|   1|10890262|          |7|CD*A4:CALD*2-II                         |Processo corrosivo.                     |          |CTEC      |MEDA     |351701.FSSV.543102.000001.0004|030GPL02|          |PMANORMA|CAMPSPAR|25.09.2018|          |GP1|C   |
|    3|   3|10890262|          |7|CD*A4:CALD*2-II                         |Falha na pintura.                       |          |CTEC      |MEDA     |351701.FSSV.543102.000001.0004|030GPL02|          |PMANORMA|CAMPSPAR|25.09.2018|          |GP1|C   |
|    2|   2|10890262|          |7|CD*A4:CALD*2-II                         |Processo corrosivo.                     |          |CTEC      |MEDA     |351701.FSSV.543102.000001.0004|030GPL02|          |PMANORMA|CAMPSPAR|25.09.2018|          |GP1|C   |
|    1|   1|10898750|          |5|CV-A14:PINT*1-IV*1.1                    |Revestimento descolacando.              |          |CTEC      |MEDA     |351701.PSTP.122303.000006.0001|030GPL02|          |PMGERAL |CAMPSPAR|27.09.2018|          |GP1|D   |
|    1|   1|10612417|2018270623|6|SD-A02:CALD                             |isométrico 016.                         |          |RECB      |MEDL     |351901.FSDO.532399.000002     |CTPCM   |24.09.2018|PMGERAL |CAMPSPAR|08.06.2018|          |NA1|C   |
|    1|   2|10612417|2018270623|6|SD-A02:CALD                             |isométrico 016.                         |          |RECB      |MEDL     |351901.FSDO.532399.000002     |CTPCM   |24.09.2018|PMGERAL |CAMPSPAR|08.06.2018|          |NA1|C   |
|    1|   1|10793222|          |6|CP/M5-A22:CALD                          |isometrico 302                          |400TIP02  |CTEC      |MEDA     |351902.PSTA.533699.000001     |040COP02|          |PMGERAL |CAMPSPAR|18.08.2018|          |NA2|C   |
|    5|   7|10644437|          |5|LA-A-35: PINT. III-3                    |ISO-007                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|PARDSPAR|20.06.2018|          |P65|C   |
|    4|   6|10644437|          |5|CI-A-53-A55-A56: PINT. III-3            |ISO-006                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|PARDSPAR|20.06.2018|          |P65|C   |
|    2|   5|10644437|          |5|LA-A-35: PINT. III-3                    |ISO-003                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|CAMPSPAR|20.06.2018|          |P65|C   |
|    2|   4|10644437|          |5|LA-A-35: CALD. III-3                    |ISO-003                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|PARDSPAR|20.06.2018|          |P65|C   |
|    1|   3|10644437|          |5|CP-A-06-07-08:CALD:III-3                |ISO-001                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|CAMPSPAR|20.06.2018|          |P65|C   |
|    1|   2|10644437|          |5|CP-A-06-07-08:CALD:III-3                |ISO-001                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|PARDSPAR|20.06.2018|          |P65|C   |
|    1|   1|10644437|          |5|CP-A-06-07-08:PINT:III-3                |ISO-001                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|CAMPSPAR|20.06.2018|          |P65|C   |
|    6|   8|10644437|          |5|LA-A-35: PINT. III-3                    |ISO-010                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|CAMPSPAR|20.06.2018|          |P65|C   |
|    6|   9|10644437|          |5|LA-A-35: PINT. III-3                    |ISO-010                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|CAMPSPAR|20.06.2018|          |P65|C   |
|    7|  10|10644437|          |5|LA-A-35: CALD. III-3                    |ISO-018                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|CAMPSPAR|20.06.2018|          |P65|C   |
|    7|  11|10644437|          |5|LA-A-35: PINT. III-3                    |ISO-018                                 |          |CTEC      |MEDA     |301006.FSDO.532399.000001     |050GPL02|          |PMANORMA|CAMPSPAR|20.06.2018|          |P65|C   |
